CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SRCDATA_ID,NAME,DESCRIPTN,ADDRESS,ALIAS_ADDR,ST_ADDRESS,POSTAL_CD,LOCALITY,CONT_PHONE,CONT_EMAIL,CONT_FAX,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,KEYWORDS,DT_UPDATE,GEOCD_IND,FACEBOOK,PRODUCT_ID,TRSM_AREA,TWITTER,SHAPE,SEQ_ID,X,Y
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2157,Three Valley Lake Chateau,Hotels & Motels;,"8903 Trans-Canada Hwy, Revelstoke, BC","8903 Trans-Canada Hwy, Revelstoke, BC",8903 Trans-Canada Hwy,V0E2S0,Revelstoke,,,,,,50.9343082,-118.4475517,Accommodation,20181201072116,,http://www.facebook.com/3valleygap,4539653,Kootenay Rockies,http://twitter.com/threevalleygap,,1815,1529379.349999999,686033.3960000006
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2158,Elizabeth Lake Lodge,Hotels & Motels;,"590 Van Horne St S, Cranbrook, BC",590 Van Horne St S,590 Van Horne St S,V1C4W7,Cranbrook,,,,,,49.506211,-115.781437,Accommodation,20181201072116,,https://www.facebook.com/pages/Elizabeth-Lake-Lodge/104943633731,4541427,Kootenay Rockies, ,,1851,1737983.9079999991,552234.4869999988
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2159,Bridal Falls Camperland RV Resort,Campgrounds & RV Parks - Private;,"53730 Bridal Falls Rd, Rosedale, BC",53730 Bridal Falls Rd,53730 Bridal Falls Rd,V0X1X1,Rosedale,,,,www.htr.ca,,49.188297,-121.74268000000001,Accommodation,20181201072118,,https://www.facebook.com/HolidayTrailsRVResorts,4541433,Vancouver Coast and Mountains, ,,3813,1310471.052999999,472889.0289999973
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2160,Kicking Horse Canyon B&B,Bed & Breakfasts;,"644 Lapp Rd, Golden, BC",644 Lapp Rd,644 Lapp Rd,V0A1H3,Golden,,,,,,51.3073873,-116.9423326,Accommodation,20181201072118,, ,4540270,Kootenay Rockies, ,,3859,1629055.401,739619.9620000003
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2161,Fernie Lodging Company,Accommodation Management Companies;,"4559 Timberline Cres, Fernie Alpine Resort, BC",4559 Timberline Cres,4559 Timberline Cres,V0B1M6,Fernie Alpine Resort,,,,www.fernielodgingcompany.com,,49.4637731,-115.0815618,Accommodation,20181201072117,,http://www.facebook.com/fernielodgingcompany,4540975,Kootenay Rockies,https://twitter.com/FernieLodgingCo,,3353,1788865.0470000014,555117.5529999975
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2162,Sonora Resort,Hotels & Motels;,"Sonora Island, Sonora Island, BC",4580 Cowley Crescent,Sonora Island,V7A4X5,Sonora Island,,,,,,50.366488999999994,-125.27298,Accommodation,20181201072116,,http://www.facebook.com/sonoraresortcanada,4540477,Vancouver Island,http://twitter.com/sonoraresort,,1515,1051704.5949999997,594823.5650000004
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2163,Alert Bay Lodge,Bed & Breakfasts;,"549 Fir St, Alert Bay, BC",1027 Pandora Ave,549 Fir St,V0N1A0,Alert Bay,,,,www.alertbaylodge.com,,50.5770693,-126.9141355,Accommodation,20181201072116,,http://www.facebook.com/pages/Alert-Bay-Lodge/123685443934/,4540934,Vancouver Island,http://twitter.com/alertbaylodge,,2417,935291.3219999998,618412.7749999985
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2164,Dutch Lake Resort & RV Park,Cabins & Cottages; Campgrounds & RV Parks - Private;,"361 Ridge Dr, Clearwater, BC",361 Ridge Dr,361 Ridge Dr,V0E1N2,Clearwater,,,,www.dutchlake.com,,51.6518987,-120.0623339,Accommodation,20181201072117,,http://www.facebook.com/pages/Dutch-Lake-Resort-RV-Park/136925079710288,4539573,Thompson Okanagan,http://twitter.com/DutchLake,,3025,1409797.9359999998,754903.9230000013
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2165,Cedars Motel,Hotels & Motels;,"4830 Hwy 16W, Terrace, BC",4830 Hwy 16W,4830 Hwy 16W,V8G1L6,Terrace,,,,www.cedarsmotel.net,,54.5158994,-128.6008234,Accommodation,20181201072117,, ,4539458,Northern British Columbia, ,,2863,832064.5409999995,1060277.8980000028
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2166,Golden Municipal Campground,Campgrounds & RV Parks - Private;,"1411 9th St S, Golden, BC","1411 9th St S, Golden, BC",1411 9th St S,V0A1H0,Golden,,,,,,51.296181,-116.953575,Accommodation,20181201072116,,https://www.facebook.com/GoldenMunicipalCampground,4539672,Kootenay Rockies, ,,2527,1628437.9710000004,738281.9050000003
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2167,Rosebank Oceanfront Cottages,Cabins & Cottages;,"2631 Mill Bay Rd, Mill Bay, BC",2631 Mill Bay Rd,2631 Mill Bay Rd,V0R2P1,Mill Bay,,,,www.rosebankcottages.ca,,48.645815,-123.551615,Accommodation,20181201072117,, ,4541446,Vancouver Island, ,,2547,1180707.137,406432.03299999796
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2168,Bighorn Ridge Guest House,Vacation Rentals;,"2357 Rolling Hills Rd, Okanagan Falls, BC",2357 Rolling Hills Rd,2357 Rolling Hills Rd,V0H1R2,Okanagan Falls,,,,www.bighornridge.com,,49.318168,-119.540072,Accommodation,20181201072117,, ,4541447,Thompson Okanagan, ,,3173,1469414.551000002,499413.06699999794
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2169,Williams Lake Stampede Campground,Campgrounds & RV Parks - Private;,"850 S Mackenzie Ave, Williams Lake, BC","850 S Mackenzie Ave, Williams Lake, BC",850 S Mackenzie Ave,V2G2V8,Williams Lake,,,,,,52.123239,-122.131034,Accommodation,20181201072117,, ,4540758,Cariboo Chilcotin Coast, ,,2675,1264333.5199999998,797470.7609999971
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2170,Alamo Motel & RV Park,Hotels & Motels; Campgrounds & RV Parks - Private;,"4898 Edwards Rd, Quesnel, BC",4898 Edwards Rd,4898 Edwards Rd,V2J6L1,Quesnel,,,,www.alamohospitality.ca,,52.8397914,-122.4146255,Accommodation,20181201072116,,https://www.facebook.com/thealamohospitality,4541453,Cariboo Chilcotin Coast, ,,2445,1240929.979,876256.6349999979
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2171,Fairmont Vacation Villas Mountainside,Vacation Rentals;,"5247 Fairmont Creek Rd, Fairmont Hot Springs, BC",5247 Fairmont Creek Rd,5247 Fairmont Creek Rd,V0B1L1,Fairmont Hot Springs,,,,,,50.323166,-115.85842,Accommodation,20181201072115,,https://www.facebook.com/pages/Mountainside-Vacation-Villas/315879331828647,4541457,Kootenay Rockies,http://www.twitter.com/FBCMountainside,,1505,1719490.6579999998,641362.2680000011
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2172,Alaska View Lodge,Bed & Breakfasts;,"12291 Tow Hill Rd, Masset, BC",201-4440 Cowley Cres,12291 Tow Hill Rd,V0T1M0,Masset,,,,,,54.0315289,-131.96450000000002,Accommodation,20181201072117,,https://www.facebook.com/AlaskaViewLodge,4541467,Northern British Columbia, ,,3139,610690.8530000001,1019539.6390000004
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2173,Edgewater Motel,Hotels & Motels;,"4073 Island Hwy S, Campbell River, BC",4073 South Island Hwy,4073 Island Hwy S,V9H1G1,Campbell River,,,,http://edgewatermotel.shutterfly.com,,49.9084361,-125.177052,Accommodation,20181201072116,, ,4541468,Vancouver Island,https://twitter.com/edgewatermotel,,2227,1059118.9329999997,543943.6830000002
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2174,Point West Waterfront Cottages,Cabins & Cottages;,"2345 Tofino/Ucluelet Hwy, Ucluelet, BC","2345 Tofino/Ucluelet Hwy, Ucluelet, BC",2345 Tofino/Ucluelet Hwy,V0R3A0,Ucluelet,,,,,,49.0560018,-125.478238,Accommodation,20181201072118,, ,4541471,Vancouver Island, ,,4043,1038181.146,448994.8579999972
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2175,Sandman Suites on Davie,Hotels & Motels;,"1160 Davie St, Vancouver, BC",1160 Davie St,1160 Davie St,V6E1N1,Vancouver,,,,www.sandmanhotels.com,,49.281127,-123.132484,Accommodation,20181201072116,,http://www.facebook.com/sandmanhotelgroup,4541478,Vancouver Coast and Mountains,http://twitter.com/sandmanhotels,,2511,1208768.8579999984,478093.4570000004
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2176,Best Western Plus Chemainus Inn,Hotels & Motels;,"9573 Chemainus Rd, Chemainus, BC",9573 Chemainus Rd,9573 Chemainus Rd,V0R1K5,Chemainus,,,,www.bestwesternchemainus.com,,48.914957,-123.71374,Accommodation,20181201072118,,http://www.facebook.com/pages/Best-Western-Plus-Chemainus-Inn/31478527861,4541407,Vancouver Island,http://twitter.com/#!/chemainus1,,4019,1167780.6410000008,435898.6129999999
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2177,Holiday Inn Express Vancouver Airport - Richmond,Hotels & Motels;,"9351 Bridgeport Rd, Richmond, BC",9351 Bridgeport Rd,9351 Bridgeport Rd,V6X1S3,Richmond,,,,,,49.192049999999995,-123.119767,Accommodation,20181201072117,,https://www.facebook.com/HolidayInnExpressVancouverAirport,4541376,Vancouver Coast and Mountains,https://twitter.com/HolidayInnEXYVR,,3079,1210096.7689999992,468242.1099999985
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2178,"The Westin Bear Mountain Golf Resort & Spa, Victoria",Hotels & Motels; Resorts;,"1999 Country Club Way, Victoria, BC",1999 Country Club Way,1999 Country Club Way,V9B6R3,Victoria,,,,,,48.477278,-123.531792,Accommodation,20181201072116,,https://www.facebook.com/BearMountainResort,4539217,Vancouver Island,https://twitter.com/BearMountain,,1859,1182821.6690000007,387788.57499999925
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2179,Edelweiss B&B,Bed & Breakfasts;,"2610 12th Ave, Port Alberni, BC",2610 12th Ave,2610 12th Ave,V9Y2T7,Port Alberni,,,,,,49.2271334,-124.795348,Accommodation,20181201072118,, ,4541500,Vancouver Island, ,,3435,1087826.2559999998,468612.676
