licence number,establishment name,location address line 1,location address line 2,location address city,location postal code,licence type,licence sub type,capacity
133216,ASIA RESTAURANT,104 - 15551 FRASER HWY,,SURREY,V3S2V8,Food Primary,,52
30098,ASPEN GROVE GOLF COURSE,4555 LENO RD,,PRINCE GEORGE,V2N6E3,Liquor Primary,,122
175811,ASSINI PIZZA & RESTAURANT,109 15551 FRASER HWY,,SURREY,V3S2V8,Food Primary,,42
168275,ATLAS CAFE,250 - 6TH ST,,COURTENAY,V9N1M1,Food Primary,,107
91632,ATLIN RECREATION CENTRE,FOURTH & SINCLAIR,,ATLIN,V0W1A0,Liquor Primary,Club,302
17339,AUSTRIA VANCOUVER CLUB,5851 WESTMINSTER HWY,,RICHMOND,V7C1C3,Liquor Primary,Club,470
308260,Aastha Devotional Indian Food Restaurant,B-2680 James St.,,DUNCAN,V9L2X5,Food Primary,,36
305112,Abbey Road Restaurant & Tap House,1851 Sumas Way,,ABBOTSFORD,V2S4L5,Food Primary,,260
308853,Abbondanza,Unit A - 1972 Peninsula Road,,UCLUELET,V0R3A0,Food Primary,,42
26935,Abbotsford Curling Club,2555 McMillan Rd,,ABBOTSFORD,V3G1C4,Liquor Primary,Club,200
303423,Abbotsford Entertainment & Sports Centre,33800 King Road,,ABBOTSFORD,V2S8H8,Liquor Primary,,8916
192071,Abbotsford Liquor Barn,2520 Montvue Ave,,ABBOTSFORD,V2S3T9,Licensee Retail Store,,
204941,Abbotsford Wine & Brew,2 - 2015 Abbotsford Way,,ABBOTSFORD,V2S6X8,UBrew/UVin,,
187041,Aberdeen Glen Golf Course,1010 Clubhouse Dr,,PRINCE GEORGE,V2K5R7,Food Primary,,83
205746,Aberdeen Glen Golf Course,1010 Clubhouse Dr,,PRINCE GEORGE,V2K5R7,Liquor Primary,,54
195142,Aberdeen Inn Licensed Liquor Store,2319 Aberdeen Road,,LOWER NICOLA,V0K1Y0,Licensee Retail Store,,
39572,Aberdeen Inn Neighbourhood Pub,2319 Aberdeen Road,,LOWER NICOLA,V0K1Y0,Liquor Primary,,118
301160,Abigail's Hotel,906 McClure St.,,VICTORIA,V8V3E7,Food Primary,,35
305016,Absinthe Bistro,952 Commercial Dr.,,VANCOUVER,V5L3W7,Food Primary,,56
308669,Abundance Artisan Bakery and Cafe,77 8th Avenue,,LILLOOET,V0K1V0,Food Primary,,62
306157,Aburiya Sushi,101- 22590 Dewdney Trunk Rd,,MAPLE RIDGE,V2X3J9,Food Primary,,54
304634,Abyssinia Ethiopian Restaurant,7546 Edmonds Street,,BURNABY,V3N1B4,Food Primary,,26
195113,Academy Hill Liquor Store,105-975 Academy Way,,KELOWNA,V1V3C8,Licensee Retail Store,,
308443,Ace Brewing Company Limited,150 Mansfield Drive,,COURTENAY,V9N6C5,Manufacturer,Brewery,0
301203,Ace Of Taste Chinese Restaurant,1344 Bay Ave,,TRAIL,V1R4A8,Food Primary,,55
303127,Acme Import & Export Ltd.,,,,,Agent,,
308403,"Acquarone, Francis & Eidsness, Gregory",,,,,Agent,,
307731,Acres and Oceans Merchants and Distributors Ltd.,,,,,Agent,,
304549,Adega on 45th Estate Winery,7311 45th St,,OSOYOOS,V0H1V6,Manufacturer,Winery,0
307737,Adelicia's Mexican Restaurante,103-20505 Fraser Hwy,,LANGLEY,V3A4G3,Food Primary,,64
306505,Adelitas Traditional Mexican Food,5178 Victoria Dr,,VANCOUVER,V5P3V2,Food Primary,,25
21083,Admiral Pub & Grill,4125 E Hastings St,,BURNABY,V5C2J3,Liquor Primary,,250
305637,Adonia Tea House,2057 41st Ave W,,VANCOUVER,V6M1Y7,Food Primary,,25
63935,Adventure Centre,Panorama Village Resort,2035 Panorama Drive,PANORAMA,V0A1T0,Liquor Primary,,174
300707,Aegean Cafe,799 Fort St.,,VICTORIA,V8W1G9,Food Primary,,42
308034,Affinity Ciderhouse,5155 Samuel Rd,,DUNCAN,V9L6Y1,Manufacturer,Winery,0
45675,Afghan Horsemen Restaurant,202 - 1833 Anderson Street,,VANCOUVER,V6H4E5,Food Primary,,164
307583,Afghan Kitchen,115-16120 24 Ave,,SURREY,V3Z0R5,Food Primary,,92
307216,After Dark Distillery Ltd.,1201 Shuswap Avenue,,SICAMOUS,V0E2V1,Manufacturer,Distillery,0
308643,Afuri Ramen + Dumpling ,140-7971 Alderbridge Way,,RICHMOND,V6X2A4,Food Primary,,59
195347,Agassiz Liquor Store,1810 #9 Highway,,AGASSIZ,V0M1A0,Licensee Retail Store,,
182216,Agra Tandoori Restaurant,109 3790 Canada Way,,BURNABY,V5G1G4,Food Primary,,62
307440,Ah Long Sushi,2697 Broadway W,,VANCOUVER,V6K2G2,Food Primary,,28
215581,Aijya Sushi,1822 WEST 4TH AVE,,VANCOUVER,V6J1M3,Food Primary,,30
76939,Air Canada Jazz,c/o 5520 Miller Road,,RICHMOND,V7B1L9,Liquor Primary,,
161154,Airport Cafe Gate 33,Terrace/Kitimat Airport,4401 Bristol Road,TERRACE,V8G1A1,Food Primary,,66
307242,Ajishou Japanese Cuisine,1610-4791 McClelland RD,,RICHMOND,V6X0M5,Food Primary,,88
186383,Ajuker Grill & BBQ Chicken,4327 North Rd,,BURNABY,V3N4N3,Food Primary,,130
307039,Aka Dake Sushi,2116 Columbia St,,ROSSLAND,V0G1Y0,Food Primary,,32
307541,Aka Sushi Japanese Casual Dining,103 - 18408  64th Ave,,SURREY,V3S1E9,Food Primary,,46
178807,Akane Japanese Restaurant,7A-20349 88 Ave,,LANGLEY,V1M2K5,Food Primary,,29
187544,Akasaka Japanese Restaurant,19175 122nd Ave,,PITT MEADOWS,V3Y2E9,Food Primary,,85
304170,Akasaka Japanese Restaurant  ,15110 101 Ave.,,SURREY,V3R7V4,Food Primary,,100
110953,Akbar's Own Dining Lounge,1905 West Broadway,,VANCOUVER,V6J1Z3,Food Primary,,72
308346,Akedo Showten Ramen + Gyoza,102-20218 Fraser Hwy,,LANGLEY,V3A4E6,Food Primary,,32
213846,Akemi Sushi,737 Goldstream Ave,,VICTORIA,V9B2X4,Food Primary,,110
168846,Al & Jan's Fish & Chips,201-9014 152nd St,,SURREY,V3R4E7,Food Primary,,53
4178,Al Porto Ristorante,321 WATER ST,,VANCOUVER,V6B1B8,Food Primary,,260
302638,Aladdin's Cafe,67 Victoria Cres.,,NANAIMO,V9R5B9,Food Primary,,10
305567,Alberello Pizzeria,115 15th St W,,NORTH VANCOUVER,V7M1R7,Food Primary,,46
191305,Alberni Liquor Store,2970 Alberni Highway,,PORT ALBERNI,V9Y8R3,Licensee Retail Store,,
3237,Alberni Valley Curling Club,3250 9TH AVE N,,PORT ALBERNI,V9Y4T2,Liquor Primary,Club,168
303118,Alberni Valley Multiplex - Catalyst Place,3737A Roger Street,,PORT ALBERNI,V9Y8J4,Liquor Primary,,2022
301304,Albreda Lodge,8190 Yellowhead Hwy # 5 South,,BLUE RIVER,V0E1J0,Food Primary,,210
308038,Alchemist Distiller Inc.,101-18006 Bentley Road,,SUMMERLAND,V0H1Z3,Manufacturer,Distillery,0
308070,Alchemy Brewing Company ,650 Victoria Street ,,KAMLOOPS,V2C2B4,Manufacturer,Brewery,0
185270,Alder Hills Golf,6011 Giscome Road,,PRINCE GEORGE,V2N6T4,Liquor Primary,,60
192469,Alder Liquor Store LRS #192469,27094 Fraser Hwy. ,,ALDERGROVE,V4W3P6,Licensee Retail Store,,
308454,Aldergrove Indian Bistro,27235 Fraser Hwy  ,,ALDERGROVE,V4W3P9,Food Primary,,52
306336,Alderlea Farm & Cafe,3390 Glenora Road,,DUNCAN,V9L6S1,Food Primary,,30
300163,Alderlea Vineyards,1751 Stamps Road,,DUNCAN,V9L5W2,Manufacturer,Winery,0
307744,Aleph Middle Eastern Eatery,1889 Powell St,,VANCOUVER,V5L1H8,Food Primary,,25
133441,Alexander's Beach Pub,12408 Kalamalka Road,,COLDSTREAM,V1B1M7,Liquor Primary,,47
301434,Alexander's Beach Restaurant,12408 Kalamalka Road,,COLDSTREAM,V1B1M7,Food Primary,,168
195176,Alexander's Pub Liquor Store,12408 Kalamalka Road,,COLDSTREAM,V1B1M7,Licensee Retail Store,,
217395,Alexandra's Nanaimo Restaurant Ltd,21  2220  Bowen Rd,,NANAIMO,V9S1H9,Food Primary,,87
67877,Alfa Pizza (Delta),1097 56TH ST,,DELTA,V4L2A2,Food Primary,,100
84096,Alforno,1416 Golden View Road,,GOLDEN,V0A1H1,Food Primary,,173
25141,Alibi's Bar,1201  1st Ave,,PRINCE GEORGE,V2L2Y7,Liquor Primary,,184
68619,Alice's Restaurant & Lounge,728 Nicol Street,,NANAIMO,V9R4V1,Food Primary,,250
307606,Alicia's Flavours,200-45428 Luckakuck Way,,CHILLIWACK,V2R3S9,Food Primary,,52
307314,All India Restaurant ,6560 Main St,,VANCOUVER,V5X3G9,Food Primary,,72
308569,All Mex'd Up Taco Shop,6-5440 Argyle St,,PORT ALBERNI,V9Y1T7,Food Primary,,30
303658,All Seasons Grill (Whistler),#8 - 4314 Main Street,,WHISTLER,V0N1B4,Food Primary,,154
308421,Allamara Holdings Ltd.,,,,,Agent,,
304994,"Allardyce, Shannon Rochelle",,,,,Agent,,
301487,Allegra Restaurant & Coffee Bar,1225 B Cranbrook St. N.,,CRANBROOK,V1C3S6,Food Primary,,48
306267,Allegro Cafe,510  8th Avenue West,,VANCOUVER,V5Z1C5,Food Primary,,80
304518,Allen Brands Inc.,,,,,Agent,,
303776,Alley BBQ Restaurant ,250 - 7997 Westminster Hwy,,RICHMOND,V6X1A4,Food Primary,,50
167769,Alley Cat Bowling Brews & Bites,517  8th Ave N,,GOLDEN,V0A1H0,Liquor Primary,,48
300988,Alpenhorn Bistro,1261 Main Street,,SMITHERS,V0J2N0,Food Primary,,157
160538,Alpenhorn Bistro & Bar,1261 Main St,,SMITHERS,V0J2N0,Liquor Primary,,112
303217,Alphabet City,4242 Main Street,,VANCOUVER,V5V3P9,Food Primary,,87
304845,Alpine Cabin,6400 Nancy Greene Way,,NORTH VANCOUVER,V7R4K9,Food Primary,,100
300882,Alpine Cafe & Catering Co.,8104 McKeever's Place,,WHISTLER,V8E1K5,Food Primary,,41
